antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'電影節目_Yes'}),frozenset({'音樂節目_Yes'}),0.38773796192609183,0.35218365061590146,0.3303471444568869,0.851985559566787,2.4191513662738977,1.0,0.19379217354338646,4.376710458034031,0.9581386157029598,0.8065618591934381,0.7715178992102694,0.8949911899582743
frozenset({'音樂節目_Yes'}),frozenset({'電影節目_Yes'}),0.35218365061590146,0.38773796192609183,0.3303471444568869,0.9379968203497615,2.4191513662738977,1.0,0.19379217354338646,9.874687742268925,0.90555278847985,0.8065618591934381,0.8987309749836982,0.8949911899582743
"frozenset({'電影節目_Yes', '網路服務_Yes'})",frozenset({'音樂節目_Yes'}),0.38773796192609183,0.35218365061590146,0.3303471444568869,0.851985559566787,2.4191513662738977,1.0,0.19379217354338646,4.376710458034031,0.9581386157029598,0.8065618591934381,0.7715178992102694,0.8949911899582743
"frozenset({'網路服務_Yes', '音樂節目_Yes'})",frozenset({'電影節目_Yes'}),0.35218365061590146,0.38773796192609183,0.3303471444568869,0.9379968203497615,2.4191513662738977,1.0,0.19379217354338646,9.874687742268925,0.90555278847985,0.8065618591934381,0.8987309749836982,0.8949911899582743
frozenset({'電影節目_Yes'}),"frozenset({'網路服務_Yes', '音樂節目_Yes'})",0.38773796192609183,0.35218365061590146,0.3303471444568869,0.851985559566787,2.4191513662738977,1.0,0.19379217354338646,4.376710458034031,0.9581386157029598,0.8065618591934381,0.7715178992102694,0.8949911899582743
frozenset({'音樂節目_Yes'}),"frozenset({'電影節目_Yes', '網路服務_Yes'})",0.35218365061590146,0.38773796192609183,0.3303471444568869,0.9379968203497615,2.4191513662738977,1.0,0.19379217354338646,9.874687742268925,0.90555278847985,0.8065618591934381,0.8987309749836982,0.8949911899582743
frozenset({'電影節目_No'}),frozenset({'音樂節目_No'}),0.4081746920492721,0.44372900335946247,0.38633818589025753,0.9465020576131687,2.1330633121730216,1.0,0.20521923659067853,10.39798862951159,0.8975463781827158,0.8298256163559832,0.9038275539981072,0.9085822590904961
frozenset({'音樂節目_No'}),frozenset({'電影節目_No'}),0.44372900335946247,0.4081746920492721,0.38633818589025753,0.8706624605678234,2.1330633121730216,1.0,0.20521923659067853,4.575820063911726,0.9549134592240872,0.8298256163559832,0.7814599381023014,0.9085822590904961
"frozenset({'網路服務_Yes', '電影節目_No'})",frozenset({'音樂節目_No'}),0.4081746920492721,0.44372900335946247,0.38633818589025753,0.9465020576131687,2.1330633121730216,1.0,0.20521923659067853,10.39798862951159,0.8975463781827158,0.8298256163559832,0.9038275539981072,0.9085822590904961
"frozenset({'網路服務_Yes', '音樂節目_No'})",frozenset({'電影節目_No'}),0.44372900335946247,0.4081746920492721,0.38633818589025753,0.8706624605678234,2.1330633121730216,1.0,0.20521923659067853,4.575820063911726,0.9549134592240872,0.8298256163559832,0.7814599381023014,0.9085822590904961
